,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
79,1_2025-12-11_2025-10-04,UA,IAH,LAX,2025-12-11 12:00:00,2025-12-11 13:45:00,77.56,['2460'],2025-12-11,2025-10-04
80,1_2025-12-11_2025-10-05,UA,IAH,LAX,2025-12-11 14:30:00,2025-12-11 16:15:00,77.56,['1945'],2025-12-11,2025-10-05
81,1_2025-12-12_2025-10-03,UA,IAH,LAX,2025-12-12 16:30:00,2025-12-12 18:10:00,116.24,['1743'],2025-12-12,2025-10-03
82,1_2025-12-12_2025-10-04,UA,IAH,LAX,2025-12-12 16:30:00,2025-12-12 18:10:00,116.26,['1743'],2025-12-12,2025-10-04
83,1_2025-12-12_2025-10-05,UA,IAH,LAX,2025-12-12 16:30:00,2025-12-12 18:10:00,116.26,['1743'],2025-12-12,2025-10-05
84,1_2025-12-13_2025-10-03,UA,IAH,LAX,2025-12-13 16:30:00,2025-12-13 18:10:00,107.64,['1743'],2025-12-13,2025-10-03
85,1_2025-12-13_2025-10-04,UA,IAH,LAX,2025-12-13 16:30:00,2025-12-13 18:10:00,77.56,['1743'],2025-12-13,2025-10-04
86,1_2025-12-13_2025-10-05,UA,IAH,LAX,2025-12-13 05:42:00,2025-12-13 07:30:00,77.56,['2431'],2025-12-13,2025-10-05
87,1_2025-12-14_2025-10-03,UA,IAH,LAX,2025-12-14 05:42:00,2025-12-14 07:30:00,107.64,['2431'],2025-12-14,2025-10-03
88,1_2025-12-14_2025-10-04,UA,IAH,LAX,2025-12-14 05:42:00,2025-12-14 07:30:00,77.56,['2431'],2025-12-14,2025-10-04
89,1_2025-12-14_2025-10-05,UA,IAH,LAX,2025-12-14 05:42:00,2025-12-14 07:30:00,77.56,['2431'],2025-12-14,2025-10-05
90,1_2025-12-15_2025-10-03,UA,IAH,LAX,2025-12-15 16:30:00,2025-12-15 18:10:00,107.64,['1743'],2025-12-15,2025-10-03
91,1_2025-12-15_2025-10-04,UA,IAH,LAX,2025-12-15 16:30:00,2025-12-15 18:10:00,77.56,['1743'],2025-12-15,2025-10-04
92,1_2025-12-15_2025-10-05,UA,IAH,LAX,2025-12-15 16:30:00,2025-12-15 18:10:00,77.56,['1743'],2025-12-15,2025-10-05
93,1_2025-12-16_2025-10-03,UA,IAH,LAX,2025-12-16 16:30:00,2025-12-16 18:10:00,107.64,['1743'],2025-12-16,2025-10-03
94,1_2025-12-16_2025-10-04,UA,IAH,LAX,2025-12-16 16:30:00,2025-12-16 18:10:00,77.56,['1743'],2025-12-16,2025-10-04
95,1_2025-12-16_2025-10-05,UA,IAH,LAX,2025-12-16 16:30:00,2025-12-16 18:10:00,77.56,['1743'],2025-12-16,2025-10-05
